playerName,year,mu,sigma
Nathan; SD.,1850,1076.36816289907,377.350903695793
Anderssen; Adolf,1850,1456.03936611968,97.4242021235691
Anderssen; Adolf,1851,1457.36334417841,89.9215827312496
Anderssen; Adolf,1852,1453.08710865081,93.952897137495
Anderssen; Adolf,1853,1447.25311068771,98.1208018648578
Anderssen; Adolf,1854,1446.98250750371,102.347218023144
Anderssen; Adolf,1855,1449.30187942515,106.322731770681
Medley; George Webb,1850,1250.65425215972,309.394554254816
Mongredien; Augustus,1850,1078.81227495097,276.493427231083
Mongredien; Augustus,1851,1078.57595792085,278.153463088121
Mc Connell; James,1850,1095.43337802064,379.745075066974
Morphy; Paul,1850,1641.88953116528,211.540948879912
Morphy; Paul,1851,1642.18843225965,210.7620647194
Morphy; Paul,1852,1641.13488801837,210.169330625004
Morphy; Paul,1853,1639.02922631543,209.688109866553
Morphy; Paul,1854,1636.9280781757,209.172088780994
Morphy; Paul,1855,1627.32611557022,212.264872597986
Loewenthal; Johann Jacob,1850,1297.14022277022,116.181325620416
Loewenthal; Johann Jacob,1851,1301.68823173466,110.661195321614
Loewenthal; Johann Jacob,1852,1310.45387609192,111.704035039485
Loewenthal; Johann Jacob,1853,1313.95412267812,112.292060593187
Loewenthal; Johann Jacob,1854,1316.85645951097,119.058713750607
Morphy; Ernest,1850,1010.17546397134,363.866355981344
Stanley; Charles Henry,1850,1456.40790229828,232.051403168448
Stanley; Charles Henry,1851,1457.13909146095,234.223943009136
Stanley; Charles Henry,1852,1456.19157880504,236.37960336456
Mahescandra,1850,991.562987961157,74.5679878124085
Mahescandra,1851,994.804860275255,67.4962376408136
Mahescandra,1852,1000.06230993875,62.8862746838571
Mahescandra,1853,1014.43275573257,59.4672429357214
Mahescandra,1854,1019.954278413,57.3314902791522
Mahescandra,1855,1023.00649240859,60.7624400784781
Cochrane; John,1850,1412.46119562871,74.0790188142012
Cochrane; John,1851,1408.87780008246,66.8876889650922
Cochrane; John,1852,1403.43816177221,62.0590946198145
Cochrane; John,1853,1389.12290556685,58.2659875758705
Cochrane; John,1854,1383.7472390289,55.4749270388812
Cochrane; John,1855,1380.71912092598,57.6265285275081
Shumov; Ilia S,1850,1066.86776213266,193.313755895575
Shumov; Ilia S,1851,1065.37571015405,191.909757492127
Shumov; Ilia S,1852,1061.80013984479,191.246194730805
Shumov; Ilia S,1853,1057.44519399507,190.471745482499
Shumov; Ilia S,1854,1055.73284380499,192.19142981433
Von Jaenisch; Carl Friedrich,1850,1006.97248000474,165.51160952461
Von Jaenisch; Carl Friedrich,1851,1008.83187742896,163.798888724646
Von Jaenisch; Carl Friedrich,1852,1017.49697521716,165.792532545266
Von Jaenisch; Carl Friedrich,1853,1021.13557788558,167.624996309467
Von Jaenisch; Carl Friedrich,1854,1024.774180554,169.32153492849
Turner; John Spencer,1850,1000.82104819306,262.157449568929
Wallenrath,1850,1239.57607107307,320.803874139918
Mayet; Carl,1851,938.857850095193,182.766514374139
Mayet; Carl,1852,941.88191815314,182.484932365531
Mayet; Carl,1853,943.445276985235,181.995948160413
Mayet; Carl,1854,945.008635817331,181.400779236676
Mayet; Carl,1855,946.571994649426,180.698376370818
Kennedy; Hugh Alexander,1851,1329.44262810562,206.963802756782
Williams; Elijah,1851,1198.15624096269,103.379617287593
Williams; Elijah,1852,1195.00578503527,104.535323196219
Loewe; Edward,1851,690.548469586426,241.474641406784
Wyvill; Marmaduke,1851,1307.24729620627,185.259733863072
Kieseritzky; Lionel,1851,1453.81401397764,207.806126701152
Kieseritzky; Lionel,1852,1458.61275731282,211.402952515381
Mucklow; James R,1851,741.077478040109,271.233917126366
Kennedy; ES.,1851,824.231118686506,353.600693894431
Staunton; Howard,1851,1342.68102957532,110.911298029114
Staunton; Howard,1852,1350.6188528244,113.95560471202
Staunton; Howard,1853,1351.37161301757,116.56318453485
Brodie; Alfred,1851,956.798164498848,358.416723157504
Szen; Josef,1851,1609.22523516212,216.481666043244
Newham; Samuel,1851,1005.04436625552,363.446666718063
Bird; Henry Edward,1851,941.648261503343,197.266006359651
Horwitz; Bernhard,1851,1056.7724223102,130.320181524583
Horwitz; Bernhard,1852,1060.95389860687,132.386070623832
Perigal; George,1851,896.876267799834,345.985590879111
Schulten; John William,1851,1075.6983340938,377.983822297832
Zytogorski; Adolf,1851,1400.72364502498,333.185803306851
Simons; Arthur,1851,1076.79808315798,377.358507789301
Slous; FL.,1851,1076.79809015267,377.358506331175
Buckle; Henry Thomas,1851,1425.39889481146,271.974307066957
Dufresne; Jean,1851,788.970002111708,192.15886220394
Dufresne; Jean,1852,785.425934555862,194.939325543329
Dufresne; Jean,1853,780.271453425421,197.800167903408
Dufresne; Jean,1854,775.123141074209,200.574713824871
Dufresne; Jean,1855,769.974828722997,203.269922864129
Harrwitz; Daniel,1851,1530.89025369026,131.745784785633
Harrwitz; Daniel,1852,1533.3480855441,127.369236304494
Harrwitz; Daniel,1853,1529.37172648974,127.105766196287
Laroche,1851,1246.81935215633,362.492415315349
Finch; James Gayler,1851,1386.02398193976,373.112811732322
Hodges; Albert Beauregard,1851,1364.62817072649,237.925781762391
Wellman; B.,1851,1158.74602149289,315.336782243406
Boden; Samuel Standidge,1851,1588.63237757057,267.262789909131
Brien; Robert Barnett,1851,1370.05981618314,181.063765732088
Brien; Robert Barnett,1852,1370.67489624903,181.012909219357
Brien; Robert Barnett,1853,1372.0799845078,180.858958294558
Brien; Robert Barnett,1854,1373.48507276658,180.596807825157
Ranken; Charles Edwards,1851,1550.2337708886,254.567285177501
Angas; Silas,1851,999.379080964986,363.713260936333
Deacon; Frederic,1851,1188.24282097589,224.226723814638
Trelawney; James,1851,959.85631218267,359.368843436803
Meyerhofer; Karl,1851,1408.06184295064,333.617624157774
Ehrmann; August,1851,1034.1473874477,331.711203219884
Szabo; G.,1851,1076.67682015958,377.348186319444
Robertson; William,1851,992.73617328545,362.958050619934
Gilby; W.,1851,1074.48238072452,336.432418527264
Falkbeer; Ernst Karl,1851,1271.7728969267,321.013515658752
Falkbeer; Ernst Karl,1852,1274.66779582453,323.095746346232
Falkbeer; Ernst Karl,1853,1276.31579792526,325.158229204548
De Heer; K.,1851,1249.00323255164,302.455397054205
Van't Kruijs; M.,1851,1732.40210123039,294.438965554769
Weimar; G.,1851,1172.05667942847,333.388309641808
Heijmans; FG.,1851,1385.24345637745,291.960130083343
Mohr; E.,1851,1025.05300035022,334.65967381854
Van Praug; J.,1851,1066.77483712465,378.167416892662
Kloos; H.,1851,1089.50468409099,253.922157573571
Blijdensteijn; WJ.,1851,1634.47324579833,302.321572658068
Bruijn; W.,1851,966.408963515806,292.757323157461
Messemaker; Christiaan,1851,1093.77686701965,285.907328077613
Naret Oliphant; C.,1851,1228.54625161691,331.287378835033
Calisch; JM.,1851,1066.77868714661,378.167714524566
Coopman; MM.,1851,1448.60092633236,287.875228647802
Seligmann; J.,1851,1073.89870737712,378.640897082406
Van Essen; WF.,1851,1062.77032404841,349.016787053288
Wentel; A.,1851,928.383863513158,360.036961406312
Von Heydebrand und der L; Tassilo,1851,1289.04573820728,215.570548703557
Von Heydebrand und der L; Tassilo,1852,1292.70236274122,214.720889023457
Von Heydebrand und der L; Tassilo,1853,1295.67594262294,213.824333454622
Kossak; J.,1851,1307.67905149005,379.309256117974
Lange; Max,1851,1528.89906188391,352.967544864815
Neijse,1851,1175.98854461772,354.929509253627
Klaus; K.,1851,1076.55509452087,377.337807519001
Pollmacher; Hermann,1851,1246.43996139848,362.49237181196
Pitschel; Claus,1851,1309.06299295854,304.328825681457
Blackburne/Steel,1851,1339.64527945439,378.943897572622
Zukertort/Hoffer,1851,1060.35472054561,378.943897572622
Mc Connell; L.,1852,1095.2305477412,379.716957053418
De Saint Amant; Pierre Charles Four,1852,1294.69676112183,320.744133591811
Journoud; Paul,1852,1075.86327296123,378.027615374889
Eichborn; Louis,1852,2387.19584063407,224.910837299044
Eichborn; Louis,1853,2396.09479477442,225.477148919004
Eichborn; Louis,1854,2399.72593553018,227.735867346111
Eichborn; Louis,1855,2401.00449814546,230.808543159241
Urusov; Dmitry Semenovich,1853,1257.10759159629,258.15541760812
Matschego,1853,1191.88514458895,358.002520512064
Hamppe; Carl,1853,1043.31464534758,377.618745669595
Urusov; Sergey Semenovich,1853,983.108896986096,276.711082778638
Urusov; Sergey Semenovich,1854,983.616992887984,277.928462130371
Petrov; Alexander,1853,1442.48436044242,322.956558421725
Rives,1853,981.540474100882,268.503689875763
Maurian; Charles Amedee,1854,1604.43694366113,234.48877183836
Maurian; Charles Amedee,1855,1597.38117397266,237.568213030132
Staunton; Ahgas,1854,1367.93819844717,374.29136912732
Janssens; Franciscus G,1854,1055.28165772896,209.060787963299
Somacarana,1855,1123.38749283871,163.742400246103
Meek; Alexander Beaufort,1855,1093.79994100948,379.597617803813
Ayers; T.,1855,1093.79991426041,379.597615170545
